Company,Executive,Title,Since,Education,Notes,Updated

Accenture,Pierre Nanterme,Chairman and CEO[1],2011,ESSEC,"Replaced William D. Green, who became executive chairman.",2015-01-17
ACE Limited,Evan G. Greenberg,"Chairman, President, and CEO[2]",2004,New York University (attended); College of Insurance (attended),Former COO of American International Group.,2015-01-17
Aditya Birla Group,Kumar Birla,Chairman[3],1995[3],,Part of the Birla family business house in India.,2015-01-17
Adobe Systems,Shantanu Narayen,President and CEO[4],2007,"Osmania University, Bowling Green State University, Haas School of Business",Formerly with Apple Inc.,2015-01-17
Agenus,Garo H. Armen,"Founder, Chairman, CEO[5]",1994,City University of New York,,2015-01-17
Alliance Boots,Stefano Pessina,Executive Vice Chairman and acting CEO[6],2006,Polytechnic University of Milan,,2015-01-17
Alcatel-Lucent,Michel Combes,CEO[7],2013,École Polytechnique,Previously CEO of Vodafone,2015-01-17
Alcoa,Klaus Kleinfeld,Chairman and CEO[8],2008,"Georg August University, University of Würzburg",Formerly with Siemens AG,2015-01-17
Amazon.com,Jeff Bezos,"Founder, President, CEO, and Chairman[9]",1994,Princeton University,,2015-01-17
AMD,Lisa Su,CEO and President[10],2014,MIT,Formerly with Texas Instruments,2013-09-13
American Express,Kenneth Chenault,Chairman and CEO[11],2001,"Bowdoin College, Harvard Law School",Third African-American CEO of a Fortune 500 company,2015-11-22
American Airlines Group,Doug Parker,Chairman and CEO[12],2013,"Albion College, Vanderbilt University",Previously CEO for US Airways,2015-01-17
Anthem Inc.,Joseph R. Swedish,CEO,2013,"UNC Charlotte, Duke University",,2016-03-06
AOL Inc.,Tim Armstrong,CEO and Chairman[13],2009,Connecticut College,Formerly with Google,2015-01-17
Apple Inc.,Tim Cook,CEO[14],2011,"Auburn University, Fuqua School of Business at Duke University",Replaced from Steve Jobs,2015-01-17
Arcelor Mittal,Lakshmi Niwas Mittal,Chairman and CEO[15],2006,"St. Xavier's College, Calcutta",,2015-01-17
AT&T Inc.,Randall L. Stephenson,Chairman and CEO[16],2007,"University of Central Oklahoma, University of Oklahoma",,2015-01-17
BAE Systems Plc,Ian King,CEO[17],2008,,Also director of Rotork,2015-01-17
Banco Bilbao Vizcaya Argentaria,Francisco González,Chairman and CEO[18],2000,Complutense University of Madrid,,2015-01-17
Bank of America,Brian Moynihan,CEO[19],2009,"Brown University, University of Notre Dame Law School",,2015-01-17
Barclays,Antony Jenkins,Group Chief Executive[20],2012,"Trinity Hall, Cambridge, University of Cambridge, Harvard Business School",,2015-01-17
Berkshire Hathaway,Warren Buffett,Chairman and CEO,1970,"University of Pennsylvania, University of Nebraska–Lincoln, Columbia University","One of the world's wealthiest people, currently ranked third",2015-01-17
Best Buy,Hubert Joly,President and CEO[21],2012,Institut d’Etudes Politiques de Paris,Previously CEO of Carlson Wagonlit Travel,2015-01-17
Bharti Enterprises,Sunil Bharti Mittal,Founder and Chairman[22],1985,Punjab University,,2015-01-17
Blackstone Group,Stephen A. Schwarzman,"Chairman, CEO and Co-Founder[23]",1985,"Yale University, Harvard Business School",,2015-01-17
BHP Billiton,Andrew Mackenzie,CEO[24],2013,University of Bristol,,2015-01-17
BMW,Norbert Reithofer,Chairman of the Board of Management[25],2006,"Munich University of Applied Sciences, Technical University Munich",,2015-01-17
BNY Mellon,Gerald Hassell,CEO,2011,"Duke University, Stern School of Business",,2016-03-06
Boeing,Dennis Muilenburg,President and CEO,2015,,,
Boston Consulting Group,Rich Lesser,President and CEO[26],2013,"Harvard Business School, University of Michigan",Replaced Hans-Paul Bürkner,2015-01-17
BP,Bob Dudley,Group Chief Executive[27],2010,"University of Illinois, Thunderbird School of Global Management, Southern Methodist University",,2015-01-17
Campbell Soup Company,Denise Morrison,President and CEO[28],2011,Boston College,,2015-01-17
Canonical Ltd.,Jane Silber,CEO[29],2010,University of Cape Town,Replaced Mark Shuttleworth.,2015-01-17
Capgemini,Capgemini,Paul Hermelin,Paul Hermelin,Chairman & CEO,2012,,,
Capital One Financial,Richard Fairbank,"Founder, Chairman and CEO[30]",1988,Stanford University,,2015-01-17
Caterpillar Inc.,Douglas R. Oberhelman,Chairman and CEO[31],2010,Millikin University,,2015-01-17
Cavium Networks,Syed B. Ali,President and CEO[32],2000,"Osmania University, University of Michigan",,2015-01-17
CBS Corporation,Leslie Moonves,President and CEO[33],2006,Bucknell University,,2015-01-17
Cisco Systems,Chuck Robbins,CEO[34],2015,University of North Carolina at Chapel Hill,,2015-07-27
Citigroup,Michael Corbat,CEO[35],2012,"Gannon University, Columbia University",,2015-01-17
Coca-Cola,Muhtar Kent,Chairman and CEO[36],2008,Tarsus American College,,2015-01-17
Cognizant Technology Solutions,Francisco D'Souza,CEO[37],2007,Carnegie Mellon University,,2015-01-17
Comcast,Brian L. Roberts,Chairman and CEO[38],2002,Wharton School of the University of Pennsylvania,,2015-01-17
ConAgra,Gary Rodkin,CEO[39],2005,"Rutgers University, Harvard Business School",Formerly with PepsiCo.,2015-01-17
Credit Suisse,Tidjane Thiam,CEO,2015,École Polytechnique,Formerly with Prudential,2016-05-13
Crown Worldwide Group,James E. Thompson,Chairman and founder[40],1965,San Jose State University,,2015-01-17
Daimler AG,Dieter Zetsche,Chairman of the board of management[41],2006,"University of Karlsruhe, University of Paderborn",,2015-01-17
Dell Inc,Michael Dell,Chairman of the Board and CEO[42],1984,University of Texas at Austin,Founder.,2015-01-17
"Delta Air Lines, Inc.",Richard H. Anderson,CEO[43],2007,"University of Houston–Clear Lake
South Texas College of Law",Former CEO of Continental Airlines,2015-01-17
Deutsche Bank,John Cryan,Co-Chairman of the Management Board[44],2015,University of Cambridge,,2015-12-14
Deutsche Post World Net,Frank Appel,CEO[45],2008,"University of Munich, Swiss Federal Institute of Technology",,2015-01-17
DineEquity,Julia Stewart,Chairman and CEO[46],2007,San Diego State University,Parent of IHOP and Applebee's,2015-01-17
DLF Limited,Kushal Pal Singh,Chairman[47],1979,Meerut College,,2015-01-17
The Dow Chemical Company,Andrew Liveris,"President, Chairman and CEO[48]",2004,University of Queensland,,2015-01-17
Dr. Reddy's,G. V. Prasad,Co-chairman and CEO[49],2001,"Illinois Institute of Technology, Purdue University",,2015-01-17
Eastman Kodak,Jeff Clarke,CEO[50],2014,"Northeastern University, State University of New York at Geneseo",,2015-01-17
EADS,Tom Enders,CEO[51],2012,"University of Bonn, University of California",,2015-01-17
eBay,Devin Wenig,President and CEO[52],2008,"Dartmouth College, Stanford Graduate School of Business",,2015-01-18
Electronic Arts,Andrew Wilson,CEO[53],2013,,,2015-01-18
Ericsson,Hans Vestberg,President and CEO[54],2010,Uppsala University,Chairman of the Swedish Handball Association,2015-01-18
Exxon Mobil,Rex Tillerson,Chairman and CEO[55],2006,University of Texas at Austin,,2015-01-18
Facebook,Mark Zuckerberg,Chairman and CEO,2004,"Ardsley High School, Phillips Exeter Academy, Harvard University",Co-founded Facebook in 2004.,2015-01-18
FedEx,Frederick W. Smith,"Chairman, president and CEO[56]",1971,Yale University,,2015-01-31
Fiat S.p.A.,Sergio Marchionne,,,,
Fidelity Investments,Abigail Johnson,,,,
Ford Motor Company,Mark Fields,CEO and President,2014,,
Foxconn Electronics Inc,Terry Gou,,,,
FUBU,Daymond John,,,,
Formula One Management,Bernie Ecclestone,,,,
General Dynamics,Phebe Novakovic,Chairman and CEO,2014,,
General Electric,Jeffrey R. Immelt,,,"Dartmouth College, Harvard Business School",
General Motors,Mary T. Barra,CEO,2014,"Kettering University, Stanford Graduate School of Business",
Gerdau,André Bier Gerdau Johannpeter,CEO,2007,"Pontifícia Universidade Católica do Rio Grande do Sul, University of Toronto, Ashridge Business School and Wharton School.",
GfK AG,Klaus L. Wübbenhorst,,,,
GlaxoSmithKline,Andrew Witty,,,,
Goldman Sachs,Lloyd Blankfein,,,"Harvard College, Harvard Law School",
Google,Sundar Pichai,CEO,2015-08-10,"Indian Institute of Technology Kharagpur (IIT KGP), Stanford University, Wharton School of the University of Pennsylvania","Former director of Jive Software from April 2011 to July 30, 2013.",2015-09-07
GMA Network,Felipe Gozon,,,,
GMR Group,Grandhi Mallikarjuna Rao,Founder and CEO,,,
GVK Group,Gunupati Venkata Krishna Reddy,Founder and CEO,,,
Haas Outdoors,Toxey Haas,Founder and CEO,1986,Mississippi State University,Parent company of Mossy Oak
Halliburton,David J. Lesar,,,,
HCL Technologies,Anant Gupta,,,,
Henderson Land Development Co. Ltd.,Lee Shau Kee,Chairman and Managing Director[57],1976[58],,,2013-09-30
Hewlett-Packard,Meg Whitman,President and CEO[59],2011,"Princeton University, Harvard Business School",Formerly with eBay,2013-09-30
Hindalco,Kumar Mangalam Birla,,,,
Home Depot,Frank Blake,,,,
Honeywell,David M. Cote,,,University of New Hampshire,
HP Hood LLC,John A. Kaneb,,,,
HSBC,Stuart Gulliver,,,,
IBM,Virginia M. Rometty,"Chairwoman, President and CEO",2012,Northwestern University,,
IGATE,Ashok Vemuri,CEO,,,
IKEA,Mikael Ohlsson,,,,
Inchcape plc,André Lacroix,,,,
Infosys Technologies Limited,Vishal Sikka[60],,,,
Intel,Brian Krzanich,CEO,2013,,Replaced Paul Otellini
InterCall,Scott Etzler,President and CEO,1999,"Indiana University, Kellogg School of Management",Also serves on the board of Steppenwolf Theater Company[61]
ITC Limited,Sushma Rajgopalan,CEO and Chairman of the Board[62],1996,,Has been with the company since 1968.
J.Crew,Millard Drexler,CEO,2003,,"Former CEO of The Gap, also director at Apple Inc."
Jefferies & Company,Richard B. Handler,"Chairman, CEO, and President",2001,"BA Economics University of Rochester, MBA Stanford University",Longest tenured CEO of a major Wall Street Firm
JP Morgan Chase,James Dimon,CEO and Chairman,2004,,also on the board of the New York Federal Reserve
Juniper Networks,Kevin Johnson,CEO,2008,,formerly of Microsoft
"Kaplan, Inc.",Andrew Rosen,,,,
Kingdom Holding Company,Al-Waleed bin Talal,,,,
Koch Industries Inc.,Charles G. Koch,,,,
Land Securities,Robert Noel,CEO,2012,Reading University,
Lanco Infratech,Madhusudhan Rao Lagadapati,CEO,,Wayne State University,
Las Vegas Sands,Sheldon Adelson,,,,
Lehman Brothers,"Richard S. (Dick) Fuld, Jr.",,,,
L.L. Bean,Christopher McCormick,,,,
Larsen & Toubro Limited,A M Naik,,,,
Lockheed Martin,Marillyn Hewson,,,,
"Macy's, Inc.",Terry J. Lundgren,,,,
Manchester United,David Gill,,,,
Marks and Spencer,Stuart Rose,,,,
McDonald's,Steve Easterbrook,,,,
McKinsey,Dominic Barton,Managing Director[63],2009[64],"University of British Columbia, Brasenose College, Oxford",Succeeded Ian Davis,2014-8-4
Mercedes-Benz,Dieter Zetsche,,,,
Merrill Lynch,John Thain,,,,
Mesa Air Group,Jonathan Ornstein,,,,
MetLife,Steven A. Kandarian,,,,
MGA Entertainment,Isaac Larian,,,,
Microsoft,Satya Nadella,CEO,2014-02-04,"Manipal University, Hyderabad Public School, University of Wisconsin–Milwaukee, University of Chicago Graduate School of Business",was executive vice president of Microsoft’s Cloud and Enterprise group[65],2014-09-12
Mile High Comics,Chuck Rozanski,,,,
Mindtree,Krishnakumar Natarajan,CEO and Managing Director,,XLRI,Ex-Chairman of NASSCOM,2014-02-04
Morgan Stanley,James P. Gorman,,,,
Motorola,Greg Brown,,,,
Mozilla,Mitchell Baker,,,,
MySQL AB,Marten Mickos,,,,
MySpace,Chris DeWolfe,,,,
Nation Media Group,Wilfred Kiboro,CEO,1993,,Replaced by Linus Gitahi in 2006. Still serves as the chairman of the NMG and Wilfay Investments Ltd. boards and serves on the boards of Standard Chartered Kenya and EABL as a non-executive director.
National Amusements,Sumner Redstone,,,,
NBCUniversal,Steve Burke,,,,
Newlog,Yochanan Vollach,,,,
News Corporation,Keith Rupert Murdoch,,,,
New York Times Company,Janet L. Robinson,,,,
NIIT,Vijay K. Thadani,,,,
Nike,Mark Parker,,,Penn State University,
Nissan,Carlos Ghosn,,,École des Mines de Paris,
Nokia,Rajeev Suri,CEO & President,2014,Manipal Institute of Technology,He was the CEO of Nokia Solutions and Networks earlier,2014-04-29
Nortel,Mike S. Zafirovski,,,,
Novartis,Daniel Vasella,,,,
Nintendo,Tatsumi Kimishima,,,,
Office Depot,Steve Odland,,,,
Oxford Sustainable Group,Hadley Barrett,,,,
Oracle Corporation,Larry Ellison,,,,
Orascom Telecom Holding,Naguib Sawiris,,,,
Outback Steakhouse,Chris T. Sullivan,,,,
PepsiCo,Indra Nooyi,CEO,2006,Yale School of Management,
Pfizer,Henry McKinnell,,,,
Pizza Hut,David C. Novak,,,,
Playboy Enterprises,Scott Flanders,,,,
Polo Ralph Lauren,Ralph Lauren,,,,
"Popular, Inc.",Richard Carrión,,,,
Procter & Gamble,David S. Taylor,President and CEO,2015,Duke University,,2016-03-06
"Prudential Financial, Inc.",John Strangfeld,,,,
Qantas Airways Limited,Alan Joyce,,,,
Qwest Communications International,Richard Notebaert,,,,
Reliance Anil Dhirubhai Ambani Group,Anil Ambani,Chairman[66],1983,"University of Mumbai, University of Pennsylvania",,2013-09-14
Reliance Industries Limited,Mukesh Ambani,Chairman,2002,"Institute of Chemical Technology, Stanford University (attended)",One of India's wealthiest people.Currently ranked one in India.
Renault,Carlos Ghosn,,,,
Rite Aid Corporation,Mary Sammons,,,,
Rocawear,Jay-Z,,,,
Royal Ahold N.V.,John Rishton,,,,
Royal Bank of Canada,Gordon Nixon,,,Queen's University,
Royal Bank of Scotland,Ross McEwan,,,,
Royal Dutch Shell,Ben van Beurden,,,,
Ryanair,Michael O'Leary,,,,
S. C. Johnson & Son,Herbert Fisk Johnson III,,,,
SAAB Automobile AB,Jan-Åke Jonsson,,,,
SandRidge Energy,Tom L. Ward,Chairman and CEO,2006,University of Oklahoma,"former President, COO and co-founder of Chesapeake Energy"
Samsung,Oh-Hyun Kwon,,,,
SAP AG,Bill McDermott,CEO,2010,"Dowling College, Northwestern University[67]",
SAS Institute,James Goodnight,,,,
